,gene_ids,feature_types,n_cells
GRCh38___COX6A1,GRCh38___ENSG00000111775,Gene Expression,70758
GRCh38___TRIAP1,GRCh38___ENSG00000170855,Gene Expression,13896
GRCh38___GATC,GRCh38___ENSG00000257218,Gene Expression,4967
GRCh38___SRSF9,GRCh38___ENSG00000111786,Gene Expression,19077
GRCh38___DYNLL1,GRCh38___ENSG00000088986,Gene Expression,34049
GRCh38___NRAV,GRCh38___ENSG00000248008,Gene Expression,210
GRCh38___AC063943.1,GRCh38___ENSG00000278344,Gene Expression,3
GRCh38___COQ5,GRCh38___ENSG00000110871,Gene Expression,5646
GRCh38___RNF10,GRCh38___ENSG00000022840,Gene Expression,25265
GRCh38___POP5,GRCh38___ENSG00000167272,Gene Expression,17602
GRCh38___CABP1,GRCh38___ENSG00000157782,Gene Expression,21
GRCh38___MLEC,GRCh38___ENSG00000110917,Gene Expression,9820
GRCh38___AC069234.2,GRCh38___ENSG00000256364,Gene Expression,22
GRCh38___AC069234.5,GRCh38___ENSG00000277423,Gene Expression,41
GRCh38___AC069234.4,GRCh38___ENSG00000276188,Gene Expression,8
GRCh38___UNC119B,GRCh38___ENSG00000175970,Gene Expression,1189
GRCh38___ACADS,GRCh38___ENSG00000122971,Gene Expression,6744
GRCh38___SPPL3,GRCh38___ENSG00000157837,Gene Expression,4439
GRCh38___C12orf43,GRCh38___ENSG00000157895,Gene Expression,8355
GRCh38___OASL,GRCh38___ENSG00000135114,Gene Expression,24633
GRCh38___P2RX7,GRCh38___ENSG00000089041,Gene Expression,6500
GRCh38___AC069209.1,GRCh38___ENSG00000274029,Gene Expression,58
GRCh38___P2RX4,GRCh38___ENSG00000135124,Gene Expression,9175
GRCh38___CAMKK2,GRCh38___ENSG00000110931,Gene Expression,8122
GRCh38___ANAPC5,GRCh38___ENSG00000089053,Gene Expression,36787
GRCh38___AC048337.1,GRCh38___ENSG00000258435,Gene Expression,52
GRCh38___RNF34,GRCh38___ENSG00000170633,Gene Expression,8118
GRCh38___KDM2B,GRCh38___ENSG00000089094,Gene Expression,10912
GRCh38___AC145422.1,GRCh38___ENSG00000256742,Gene Expression,51
GRCh38___ORAI1,GRCh38___ENSG00000276045,Gene Expression,12475
GRCh38___MORN3,GRCh38___ENSG00000139714,Gene Expression,1683
GRCh38___TMEM120B,GRCh38___ENSG00000188735,Gene Expression,3287
GRCh38___RHOF,GRCh38___ENSG00000139725,Gene Expression,37102
GRCh38___LINC01089,GRCh38___ENSG00000212694,Gene Expression,8794
GRCh38___AC084018.2,GRCh38___ENSG00000274292,Gene Expression,567
GRCh38___SETD1B,GRCh38___ENSG00000139718,Gene Expression,7975
GRCh38___HPD,GRCh38___ENSG00000158104,Gene Expression,83
GRCh38___PSMD9,GRCh38___ENSG00000110801,Gene Expression,22195
GRCh38___AC069503.2,GRCh38___ENSG00000256950,Gene Expression,73
GRCh38___WDR66,GRCh38___ENSG00000158023,Gene Expression,65
GRCh38___AC069503.1,GRCh38___ENSG00000255856,Gene Expression,30
GRCh38___BCL7A,GRCh38___ENSG00000110987,Gene Expression,2956
GRCh38___MLXIP,GRCh38___ENSG00000175727,Gene Expression,8264
GRCh38___LRRC43,GRCh38___ENSG00000158113,Gene Expression,293
GRCh38___B3GNT4,GRCh38___ENSG00000176383,Gene Expression,84
GRCh38___DIABLO,GRCh38___ENSG00000284934,Gene Expression,2131
GRCh38___DIABLO-1,GRCh38___ENSG00000184047,Gene Expression,8405
GRCh38___AC048338.1,GRCh38___ENSG00000256861,Gene Expression,9
GRCh38___VPS33A,GRCh38___ENSG00000139719,Gene Expression,8999
GRCh38___CLIP1,GRCh38___ENSG00000130779,Gene Expression,26686
GRCh38___CLIP1-AS1,GRCh38___ENSG00000257097,Gene Expression,19
GRCh38___ZCCHC8,GRCh38___ENSG00000033030,Gene Expression,12962
GRCh38___AC127002.1,GRCh38___ENSG00000275265,Gene Expression,142
GRCh38___RSRC2,GRCh38___ENSG00000111011,Gene Expression,52557
GRCh38___KNTC1,GRCh38___ENSG00000184445,Gene Expression,2913
GRCh38___AC026333.4,GRCh38___ENSG00000274191,Gene Expression,27
GRCh38___AC026333.3,GRCh38___ENSG00000256249,Gene Expression,115
GRCh38___HCAR2,GRCh38___ENSG00000182782,Gene Expression,3351
GRCh38___HCAR3,GRCh38___ENSG00000255398,Gene Expression,5511
GRCh38___HCAR1,GRCh38___ENSG00000196917,Gene Expression,5
GRCh38___DENR,GRCh38___ENSG00000139726,Gene Expression,27785
GRCh38___CCDC62,GRCh38___ENSG00000130783,Gene Expression,82
GRCh38___HIP1R,GRCh38___ENSG00000130787,Gene Expression,7945
GRCh38___VPS37B,GRCh38___ENSG00000139722,Gene Expression,39189
GRCh38___AC027290.1,GRCh38___ENSG00000256152,Gene Expression,1589
GRCh38___ABCB9,GRCh38___ENSG00000150967,Gene Expression,620
GRCh38___OGFOD2,GRCh38___ENSG00000111325,Gene Expression,5294
GRCh38___ARL6IP4,GRCh38___ENSG00000182196,Gene Expression,54745
GRCh38___PITPNM2,GRCh38___ENSG00000090975,Gene Expression,1128
GRCh38___PITPNM2-AS1,GRCh38___ENSG00000251497,Gene Expression,9
GRCh38___MPHOSPH9,GRCh38___ENSG00000051825,Gene Expression,10806
GRCh38___C12orf65,GRCh38___ENSG00000130921,Gene Expression,7123
GRCh38___AC068768.1,GRCh38___ENSG00000235423,Gene Expression,23
GRCh38___CDK2AP1,GRCh38___ENSG00000111328,Gene Expression,3371
GRCh38___AC068768.2,GRCh38___ENSG00000269980,Gene Expression,7
GRCh38___SBNO1,GRCh38___ENSG00000139697,Gene Expression,19663
GRCh38___AC137767.1,GRCh38___ENSG00000256092,Gene Expression,3704
GRCh38___KMT5A,GRCh38___ENSG00000183955,Gene Expression,4190
GRCh38___RILPL2,GRCh38___ENSG00000150977,Gene Expression,32951
GRCh38___SNRNP35,GRCh38___ENSG00000184209,Gene Expression,14419
GRCh38___RILPL1,GRCh38___ENSG00000188026,Gene Expression,159
GRCh38___AC055713.1,GRCh38___ENSG00000247373,Gene Expression,168
GRCh38___TMED2,GRCh38___ENSG00000086598,Gene Expression,38552
GRCh38___DDX55,GRCh38___ENSG00000111364,Gene Expression,8128
GRCh38___EIF2B1,GRCh38___ENSG00000111361,Gene Expression,15510
GRCh38___GTF2H3,GRCh38___ENSG00000111358,Gene Expression,7951
GRCh38___TCTN2,GRCh38___ENSG00000168778,Gene Expression,664
GRCh38___ATP6V0A2,GRCh38___ENSG00000185344,Gene Expression,5244
GRCh38___DNAH10,GRCh38___ENSG00000197653,Gene Expression,114
GRCh38___CCDC92,GRCh38___ENSG00000119242,Gene Expression,3582
GRCh38___AC079315.1,GRCh38___ENSG00000270028,Gene Expression,55
GRCh38___DNAH10OS,GRCh38___ENSG00000250091,Gene Expression,91
GRCh38___ZNF664,GRCh38___ENSG00000179195,Gene Expression,5992
GRCh38___NCOR2,GRCh38___ENSG00000196498,Gene Expression,11684
GRCh38___AC073592.1,GRCh38___ENSG00000214650,Gene Expression,3
GRCh38___SCARB1,GRCh38___ENSG00000073060,Gene Expression,1269
GRCh38___UBC,GRCh38___ENSG00000150991,Gene Expression,85521
GRCh38___DHX37,GRCh38___ENSG00000150990,Gene Expression,6343
GRCh38___BRI3BP,GRCh38___ENSG00000184992,Gene Expression,2538
GRCh38___THRIL,GRCh38___ENSG00000280634,Gene Expression,20
GRCh38___AACS,GRCh38___ENSG00000081760,Gene Expression,1623
GRCh38___AC006065.4,GRCh38___ENSG00000256732,Gene Expression,3
GRCh38___LINC00943,GRCh38___ENSG00000189238,Gene Expression,3
GRCh38___LINC00944,GRCh38___ENSG00000256128,Gene Expression,3037
GRCh38___LINC02376,GRCh38___ENSG00000256292,Gene Expression,10
GRCh38___TMEM132C,GRCh38___ENSG00000181234,Gene Expression,12
GRCh38___SLC15A4,GRCh38___ENSG00000139370,Gene Expression,6850
GRCh38___AC108704.1,GRCh38___ENSG00000274695,Gene Expression,11
GRCh38___GLT1D1,GRCh38___ENSG00000151948,Gene Expression,2311
GRCh38___STX2,GRCh38___ENSG00000111450,Gene Expression,3923
GRCh38___AC073912.2,GRCh38___ENSG00000256299,Gene Expression,4
GRCh38___RAN,GRCh38___ENSG00000132341,Gene Expression,57128
GRCh38___ADGRD1,GRCh38___ENSG00000111452,Gene Expression,243
GRCh38___LINC02415,GRCh38___ENSG00000248703,Gene Expression,5
GRCh38___AC073578.1,GRCh38___ENSG00000256209,Gene Expression,8
GRCh38___SFSWAP,GRCh38___ENSG00000061936,Gene Expression,27593
GRCh38___MMP17,GRCh38___ENSG00000198598,Gene Expression,749
GRCh38___AC131009.2,GRCh38___ENSG00000256955,Gene Expression,61
GRCh38___ULK1,GRCh38___ENSG00000177169,Gene Expression,5546
GRCh38___AC131009.1,GRCh38___ENSG00000255992,Gene Expression,6
GRCh38___PUS1,GRCh38___ENSG00000177192,Gene Expression,3888
GRCh38___EP400,GRCh38___ENSG00000183495,Gene Expression,16303
GRCh38___AC137590.1,GRCh38___ENSG00000257000,Gene Expression,20
GRCh38___DDX51,GRCh38___ENSG00000185163,Gene Expression,3160
GRCh38___NOC4L,GRCh38___ENSG00000184967,Gene Expression,10069
GRCh38___LINC02361,GRCh38___ENSG00000256576,Gene Expression,3445
GRCh38___AC138466.1,GRCh38___ENSG00000256312,Gene Expression,59
GRCh38___AC148476.1,GRCh38___ENSG00000274373,Gene Expression,16
GRCh38___FBRSL1,GRCh38___ENSG00000112787,Gene Expression,4261
GRCh38___AC131212.1,GRCh38___ENSG00000277186,Gene Expression,6
GRCh38___P2RX2,GRCh38___ENSG00000187848,Gene Expression,20
GRCh38___POLE,GRCh38___ENSG00000177084,Gene Expression,3590
GRCh38___PXMP2,GRCh38___ENSG00000176894,Gene Expression,1413
GRCh38___PGAM5,GRCh38___ENSG00000247077,Gene Expression,1724
GRCh38___ANKLE2,GRCh38___ENSG00000176915,Gene Expression,10724
GRCh38___GOLGA3,GRCh38___ENSG00000090615,Gene Expression,9586
GRCh38___CHFR,GRCh38___ENSG00000072609,Gene Expression,14356
GRCh38___AC127070.1,GRCh38___ENSG00000236617,Gene Expression,108
GRCh38___AC127070.2,GRCh38___ENSG00000250790,Gene Expression,5
GRCh38___ZNF605,GRCh38___ENSG00000196458,Gene Expression,2195
GRCh38___ZNF26,GRCh38___ENSG00000198393,Gene Expression,4921
GRCh38___AC073911.1,GRCh38___ENSG00000246394,Gene Expression,42
GRCh38___ZNF84,GRCh38___ENSG00000198040,Gene Expression,5006
GRCh38___ZNF140,GRCh38___ENSG00000196387,Gene Expression,2256
GRCh38___ZNF891,GRCh38___ENSG00000214029,Gene Expression,1622
GRCh38___ZNF10,GRCh38___ENSG00000256223,Gene Expression,4379
GRCh38___ZNF268,GRCh38___ENSG00000090612,Gene Expression,2785
GRCh38___TPTE2,GRCh38___ENSG00000132958,Gene Expression,5
GRCh38___MPHOSPH8,GRCh38___ENSG00000196199,Gene Expression,37901
GRCh38___PSPC1,GRCh38___ENSG00000121390,Gene Expression,20370
GRCh38___ZMYM5,GRCh38___ENSG00000132950,Gene Expression,13504
GRCh38___AL355001.1,GRCh38___ENSG00000223576,Gene Expression,8
GRCh38___AL355001.2,GRCh38___ENSG00000275964,Gene Expression,2068
GRCh38___ZMYM2,GRCh38___ENSG00000121741,Gene Expression,18917
GRCh38___GJA3,GRCh38___ENSG00000121743,Gene Expression,8
GRCh38___GJB2,GRCh38___ENSG00000165474,Gene Expression,68
GRCh38___GJB6,GRCh38___ENSG00000121742,Gene Expression,27
GRCh38___CRYL1,GRCh38___ENSG00000165475,Gene Expression,6781
GRCh38___AL590096.1,GRCh38___ENSG00000277020,Gene Expression,15
GRCh38___IFT88,GRCh38___ENSG00000032742,Gene Expression,3929
GRCh38___AL161772.1,GRCh38___ENSG00000278291,Gene Expression,10
GRCh38___IL17D,GRCh38___ENSG00000172458,Gene Expression,19
GRCh38___EEF1AKMT1,GRCh38___ENSG00000150456,Gene Expression,2098
GRCh38___XPO4,GRCh38___ENSG00000132953,Gene Expression,20434
GRCh38___LATS2,GRCh38___ENSG00000150457,Gene Expression,2836
GRCh38___LATS2-AS1,GRCh38___ENSG00000233851,Gene Expression,44
GRCh38___SAP18,GRCh38___ENSG00000150459,Gene Expression,62782
GRCh38___SKA3,GRCh38___ENSG00000165480,Gene Expression,2549
GRCh38___MRPL57,GRCh38___ENSG00000173141,Gene Expression,32883
GRCh38___LINC00539,GRCh38___ENSG00000224429,Gene Expression,1265
GRCh38___ZDHHC20,GRCh38___ENSG00000180776,Gene Expression,21163
GRCh38___MICU2,GRCh38___ENSG00000165487,Gene Expression,22700
GRCh38___FGF9,GRCh38___ENSG00000102678,Gene Expression,147
GRCh38___AL136962.1,GRCh38___ENSG00000276476,Gene Expression,268
GRCh38___LINC00621,GRCh38___ENSG00000262619,Gene Expression,4
GRCh38___SACS,GRCh38___ENSG00000151835,Gene Expression,4171
GRCh38___LINC00327,GRCh38___ENSG00000232977,Gene Expression,3
GRCh38___TNFRSF19,GRCh38___ENSG00000127863,Gene Expression,51
GRCh38___MIPEP,GRCh38___ENSG00000027001,Gene Expression,2936
GRCh38___AL359736.1,GRCh38___ENSG00000273167,Gene Expression,176
GRCh38___SPATA13,GRCh38___ENSG00000182957,Gene Expression,21879
GRCh38___SPATA13-AS1,GRCh38___ENSG00000227213,Gene Expression,44
GRCh38___C1QTNF9,GRCh38___ENSG00000240654,Gene Expression,7
GRCh38___PARP4,GRCh38___ENSG00000102699,Gene Expression,14578
GRCh38___ATP12A,GRCh38___ENSG00000075673,Gene Expression,6
GRCh38___CENPJ,GRCh38___ENSG00000151849,Gene Expression,3120
GRCh38___PABPC3,GRCh38___ENSG00000151846,Gene Expression,26
GRCh38___MTMR6,GRCh38___ENSG00000139505,Gene Expression,13475
GRCh38___AL590787.1,GRCh38___ENSG00000260509,Gene Expression,39
GRCh38___NUP58,GRCh38___ENSG00000139496,Gene Expression,25545
GRCh38___ATP8A2,GRCh38___ENSG00000132932,Gene Expression,214
GRCh38___SHISA2,GRCh38___ENSG00000180730,Gene Expression,14
GRCh38___RNF6,GRCh38___ENSG00000127870,Gene Expression,12719
GRCh38___AL138966.2,GRCh38___ENSG00000277368,Gene Expression,410
GRCh38___CDK8,GRCh38___ENSG00000132964,Gene Expression,2297
GRCh38___WASF3,GRCh38___ENSG00000132970,Gene Expression,96
GRCh38___USP12,GRCh38___ENSG00000152484,Gene Expression,5323
GRCh38___USP12-AS2,GRCh38___ENSG00000230641,Gene Expression,5
GRCh38___LINC02340,GRCh38___ENSG00000275294,Gene Expression,16
GRCh38___RPL21,GRCh38___ENSG00000122026,Gene Expression,78166
GRCh38___RASL11A,GRCh38___ENSG00000122035,Gene Expression,795
GRCh38___GTF3A,GRCh38___ENSG00000122034,Gene Expression,48570
GRCh38___MTIF3,GRCh38___ENSG00000122033,Gene Expression,13161
GRCh38___LNX2,GRCh38___ENSG00000139517,Gene Expression,701
GRCh38___POLR1D,GRCh38___ENSG00000186184,Gene Expression,42566
GRCh38___CDX2,GRCh38___ENSG00000165556,Gene Expression,16
GRCh38___URAD,GRCh38___ENSG00000183463,Gene Expression,3
GRCh38___FLT3,GRCh38___ENSG00000122025,Gene Expression,1204
GRCh38___PAN3-AS1,GRCh38___ENSG00000261485,Gene Expression,175
GRCh38___PAN3,GRCh38___ENSG00000152520,Gene Expression,7538
GRCh38___FLT1,GRCh38___ENSG00000102755,Gene Expression,386
GRCh38___POMP,GRCh38___ENSG00000132963,Gene Expression,54337
GRCh38___SLC46A3,GRCh38___ENSG00000139508,Gene Expression,6700
GRCh38___MTUS2,GRCh38___ENSG00000132938,Gene Expression,21
GRCh38___MTUS2-AS1,GRCh38___ENSG00000179141,Gene Expression,15
GRCh38___SLC7A1,GRCh38___ENSG00000139514,Gene Expression,3842
GRCh38___UBL3,GRCh38___ENSG00000122042,Gene Expression,14812
GRCh38___LINC00544,GRCh38___ENSG00000122043,Gene Expression,104
GRCh38___LINC00384,GRCh38___ENSG00000232117,Gene Expression,845
GRCh38___KATNAL1,GRCh38___ENSG00000102781,Gene Expression,4696
GRCh38___LINC00427,GRCh38___ENSG00000236463,Gene Expression,4
GRCh38___LINC00426,GRCh38___ENSG00000238121,Gene Expression,4288
GRCh38___LINC01058,GRCh38___ENSG00000225039,Gene Expression,37
GRCh38___UBE2L5,GRCh38___ENSG00000236444,Gene Expression,30
GRCh38___HMGB1,GRCh38___ENSG00000189403,Gene Expression,82067
GRCh38___USPL1,GRCh38___ENSG00000132952,Gene Expression,10310
GRCh38___ALOX5AP,GRCh38___ENSG00000132965,Gene Expression,45504
GRCh38___LINC00398,GRCh38___ENSG00000237879,Gene Expression,8
GRCh38___LINC00545,GRCh38___ENSG00000236094,Gene Expression,9
GRCh38___MEDAG,GRCh38___ENSG00000102802,Gene Expression,18
GRCh38___HSPH1,GRCh38___ENSG00000120694,Gene Expression,15835
GRCh38___B3GLCT,GRCh38___ENSG00000187676,Gene Expression,2144
GRCh38___RXFP2,GRCh38___ENSG00000133105,Gene Expression,3
GRCh38___FRY,GRCh38___ENSG00000073910,Gene Expression,4234
GRCh38___FRY-AS1,GRCh38___ENSG00000237637,Gene Expression,423
GRCh38___ZAR1L,GRCh38___ENSG00000189167,Gene Expression,3
GRCh38___BRCA2,GRCh38___ENSG00000139618,Gene Expression,6453
GRCh38___N4BP2L1,GRCh38___ENSG00000139597,Gene Expression,21743
GRCh38___N4BP2L2,GRCh38___ENSG00000244754,Gene Expression,43710
GRCh38___PDS5B,GRCh38___ENSG00000083642,Gene Expression,13473
GRCh38___AL138820.1,GRCh38___ENSG00000277151,Gene Expression,68
GRCh38___KL,GRCh38___ENSG00000133116,Gene Expression,25
GRCh38___STARD13,GRCh38___ENSG00000133121,Gene Expression,185
GRCh38___AL139383.1,GRCh38___ENSG00000230490,Gene Expression,48
GRCh38___RFC3,GRCh38___ENSG00000133119,Gene Expression,3791
GRCh38___NBEA,GRCh38___ENSG00000172915,Gene Expression,222
GRCh38___CCDC169,GRCh38___ENSG00000242715,Gene Expression,10
GRCh38___SPART,GRCh38___ENSG00000133104,Gene Expression,3814
GRCh38___SPART-AS1,GRCh38___ENSG00000120664,Gene Expression,8
GRCh38___CCNA1,GRCh38___ENSG00000133101,Gene Expression,20
GRCh38___RFXAP,GRCh38___ENSG00000133111,Gene Expression,1128
GRCh38___SMAD9,GRCh38___ENSG00000120693,Gene Expression,3
GRCh38___ALG5,GRCh38___ENSG00000120697,Gene Expression,14915
GRCh38___EXOSC8,GRCh38___ENSG00000120699,Gene Expression,13004
GRCh38___SUPT20H,GRCh38___ENSG00000102710,Gene Expression,11718
GRCh38___LINC02334,GRCh38___ENSG00000274317,Gene Expression,22
GRCh38___LINC00571,GRCh38___ENSG00000223685,Gene Expression,5
GRCh38___UFM1,GRCh38___ENSG00000120686,Gene Expression,29049
GRCh38___PROSER1,GRCh38___ENSG00000120685,Gene Expression,7506
GRCh38___NHLRC3,GRCh38___ENSG00000188811,Gene Expression,8419
GRCh38___AL354809.1,GRCh38___ENSG00000273507,Gene Expression,12
GRCh38___LHFPL6,GRCh38___ENSG00000183722,Gene Expression,211
GRCh38___COG6,GRCh38___ENSG00000133103,Gene Expression,4351
GRCh38___LINC00598,GRCh38___ENSG00000215483,Gene Expression,34
GRCh38___LINC00332,GRCh38___ENSG00000230710,Gene Expression,5
GRCh38___FOXO1,GRCh38___ENSG00000150907,Gene Expression,7797
GRCh38___MRPS31,GRCh38___ENSG00000102738,Gene Expression,8197
GRCh38___SLC25A15,GRCh38___ENSG00000102743,Gene Expression,558
GRCh38___ELF1,GRCh38___ENSG00000120690,Gene Expression,54251
GRCh38___WBP4,GRCh38___ENSG00000120688,Gene Expression,9605
GRCh38___KBTBD6,GRCh38___ENSG00000165572,Gene Expression,745
GRCh38___AL354696.2,GRCh38___ENSG00000278390,Gene Expression,365
GRCh38___KBTBD7,GRCh38___ENSG00000120696,Gene Expression,1449
GRCh38___MTRF1,GRCh38___ENSG00000120662,Gene Expression,3224
GRCh38___NAA16,GRCh38___ENSG00000172766,Gene Expression,16391
GRCh38___RGCC,GRCh38___ENSG00000102760,Gene Expression,18162
GRCh38___VWA8,GRCh38___ENSG00000102763,Gene Expression,6173
GRCh38___VWA8-AS1,GRCh38___ENSG00000278338,Gene Expression,18
GRCh38___DGKH,GRCh38___ENSG00000102780,Gene Expression,1852
GRCh38___AKAP11,GRCh38___ENSG00000023516,Gene Expression,5789
GRCh38___LINC02341,GRCh38___ENSG00000283554,Gene Expression,3
GRCh38___TNFSF11,GRCh38___ENSG00000120659,Gene Expression,60
GRCh38___EPSTI1,GRCh38___ENSG00000133106,Gene Expression,34520
GRCh38___DNAJC15,GRCh38___ENSG00000120675,Gene Expression,31605
GRCh38___ENOX1,GRCh38___ENSG00000120658,Gene Expression,32
GRCh38___CCDC122,GRCh38___ENSG00000151773,Gene Expression,699
GRCh38___LACC1,GRCh38___ENSG00000179630,Gene Expression,1517
GRCh38___AL512506.3,GRCh38___ENSG00000281883,Gene Expression,10
GRCh38___SMIM2-AS1,GRCh38___ENSG00000227258,Gene Expression,9
GRCh38___AL589745.1,GRCh38___ENSG00000230731,Gene Expression,20
GRCh38___SERP2,GRCh38___ENSG00000151778,Gene Expression,245
GRCh38___TSC22D1,GRCh38___ENSG00000102804,Gene Expression,4686
GRCh38___TSC22D1-AS1,GRCh38___ENSG00000278156,Gene Expression,177
GRCh38___NUFIP1,GRCh38___ENSG00000083635,Gene Expression,9226
GRCh38___GPALPP1,GRCh38___ENSG00000133114,Gene Expression,8201
GRCh38___GTF2F2,GRCh38___ENSG00000188342,Gene Expression,13715
GRCh38___TPT1,GRCh38___ENSG00000133112,Gene Expression,86853
GRCh38___AL138963.3,GRCh38___ENSG00000273149,Gene Expression,1074
GRCh38___AL138963.1,GRCh38___ENSG00000228886,Gene Expression,128
GRCh38___SLC25A30,GRCh38___ENSG00000174032,Gene Expression,2112
GRCh38___SLC25A30-AS1,GRCh38___ENSG00000251015,Gene Expression,124
GRCh38___COG3,GRCh38___ENSG00000136152,Gene Expression,27838
GRCh38___ERICH6B,GRCh38___ENSG00000165837,Gene Expression,9
GRCh38___SPERT,GRCh38___ENSG00000174015,Gene Expression,5
GRCh38___SIAH3,GRCh38___ENSG00000215475,Gene Expression,6
GRCh38___ZC3H13,GRCh38___ENSG00000123200,Gene Expression,21419
GRCh38___CPB2-AS1,GRCh38___ENSG00000235903,Gene Expression,101
GRCh38___LCP1,GRCh38___ENSG00000136167,Gene Expression,71082
GRCh38___LRRC63,GRCh38___ENSG00000173988,Gene Expression,251
GRCh38___LINC00563,GRCh38___ENSG00000261097,Gene Expression,15
GRCh38___RUBCNL,GRCh38___ENSG00000102445,Gene Expression,5700
GRCh38___LRCH1,GRCh38___ENSG00000136141,Gene Expression,5514
GRCh38___ESD,GRCh38___ENSG00000139684,Gene Expression,15840
GRCh38___HTR2A,GRCh38___ENSG00000102468,Gene Expression,5
GRCh38___SUCLA2,GRCh38___ENSG00000136143,Gene Expression,12137
GRCh38___LINC00562,GRCh38___ENSG00000260388,Gene Expression,117
GRCh38___SUCLA2-AS1,GRCh38___ENSG00000227848,Gene Expression,17
GRCh38___NUDT15,GRCh38___ENSG00000136159,Gene Expression,9461
GRCh38___AL158196.1,GRCh38___ENSG00000276968,Gene Expression,26
GRCh38___MED4,GRCh38___ENSG00000136146,Gene Expression,29574
GRCh38___MED4-AS1,GRCh38___ENSG00000229111,Gene Expression,47
GRCh38___ITM2B,GRCh38___ENSG00000136156,Gene Expression,78217
GRCh38___RB1-DT,GRCh38___ENSG00000231473,Gene Expression,343
GRCh38___RB1,GRCh38___ENSG00000139687,Gene Expression,24788
GRCh38___AL392048.1,GRCh38___ENSG00000277684,Gene Expression,8
GRCh38___LPAR6,GRCh38___ENSG00000139679,Gene Expression,6352
GRCh38___RCBTB2,GRCh38___ENSG00000136161,Gene Expression,5529
GRCh38___LINC00462,GRCh38___ENSG00000233610,Gene Expression,5
GRCh38___CYSLTR2,GRCh38___ENSG00000152207,Gene Expression,1789
GRCh38___AL161421.1,GRCh38___ENSG00000275202,Gene Expression,743
GRCh38___FNDC3A,GRCh38___ENSG00000102531,Gene Expression,12563
GRCh38___CDADC1,GRCh38___ENSG00000102543,Gene Expression,10550
GRCh38___CAB39L,GRCh38___ENSG00000102547,Gene Expression,1994
GRCh38___SETDB2,GRCh38___ENSG00000136169,Gene Expression,5372
GRCh38___PHF11,GRCh38___ENSG00000136147,Gene Expression,34997
GRCh38___RCBTB1,GRCh38___ENSG00000136144,Gene Expression,4699
GRCh38___ARL11,GRCh38___ENSG00000152213,Gene Expression,2195
GRCh38___EBPL,GRCh38___ENSG00000123179,Gene Expression,2801
GRCh38___KPNA3,GRCh38___ENSG00000102753,Gene Expression,17053
GRCh38___AL136301.1,GRCh38___ENSG00000276436,Gene Expression,51
GRCh38___SPRYD7,GRCh38___ENSG00000123178,Gene Expression,2106
GRCh38___DLEU2,GRCh38___ENSG00000231607,Gene Expression,8189
GRCh38___TRIM13,GRCh38___ENSG00000204977,Gene Expression,10198
GRCh38___KCNRG,GRCh38___ENSG00000198553,Gene Expression,124
GRCh38___DLEU7,GRCh38___ENSG00000186047,Gene Expression,166
GRCh38___DLEU7-AS1,GRCh38___ENSG00000237152,Gene Expression,20
GRCh38___RNASEH2B-AS1,GRCh38___ENSG00000233672,Gene Expression,181
