,feature_types
SEMA5A-AS1,Gene Expression
SNHG18,Gene Expression
AC034229.1,Gene Expression
AC034229.4,Gene Expression
AC012640.1,Gene Expression
CCT5,Gene Expression
AC012640.4,Gene Expression
CMBL,Gene Expression
AC012640.2,Gene Expression
ROPN1L-AS1,Gene Expression
ROPN1L,Gene Expression
LINC01513,Gene Expression
LINC02213,Gene Expression
ANKRD33B,Gene Expression
ANKRD33B-AS1,Gene Expression
DAP,Gene Expression
AC012629.1,Gene Expression
CTNND2,Gene Expression
AC106771.1,Gene Expression
LINC01194,Gene Expression
DNAH5,Gene Expression
TRIO,Gene Expression
OTULINL,Gene Expression
AC010491.1,Gene Expression
OTULIN,Gene Expression
ANKH,Gene Expression
AC016575.1,Gene Expression
LINC02150,Gene Expression
ZNF622,Gene Expression
RETREG1,Gene Expression
AC022113.1,Gene Expression
MYO10,Gene Expression
BASP1,Gene Expression
BASP1-AS1,Gene Expression
AC026785.2,Gene Expression
LINC02217,Gene Expression
LINC02218,Gene Expression
LINC02223,Gene Expression
LINC02100,Gene Expression
CDH18,Gene Expression
LINC02241,Gene Expression
AC093274.1,Gene Expression
AC091946.2,Gene Expression
AC091946.1,Gene Expression
CDH12,Gene Expression
AC010445.1,Gene Expression
C5orf17,Gene Expression
CDH10,Gene Expression
LINC02228,Gene Expression
LINC02211,Gene Expression
AC099499.2,Gene Expression
AC022140.1,Gene Expression
CDH9,Gene Expression
PURPL,Gene Expression
AC008825.1,Gene Expression
LINC02109,Gene Expression
AC113386.1,Gene Expression
CDH6,Gene Expression
DROSHA,Gene Expression
C5orf22,Gene Expression
PDZD2,Gene Expression
AC025178.1,Gene Expression
GOLPH3,Gene Expression
AC025181.2,Gene Expression
MTMR12,Gene Expression
ZFR,Gene Expression
SUB1,Gene Expression
NPR3,Gene Expression
AC034223.1,Gene Expression
LINC02160,Gene Expression
AC034231.1,Gene Expression
ADAMTS12,Gene Expression
SLC45A2,Gene Expression
AMACR,Gene Expression
C1QTNF3,Gene Expression
AC139792.1,Gene Expression
RAI14,Gene Expression
AC025754.1,Gene Expression
TTC23L,Gene Expression
RAD1,Gene Expression
BRIX1,Gene Expression
DNAJC21,Gene Expression
PRLR,Gene Expression
SPEF2,Gene Expression
AC137810.1,Gene Expression
IL7R,Gene Expression
CAPSL,Gene Expression
UGT3A1,Gene Expression
UGT3A2,Gene Expression
LMBRD2,Gene Expression
SKP2,Gene Expression
NADK2,Gene Expression
RANBP3L,Gene Expression
SLC1A3,Gene Expression
AC008957.2,Gene Expression
AC008957.1,Gene Expression
AC026741.1,Gene Expression
NIPBL,Gene Expression
CPLANE1,Gene Expression
NUP155,Gene Expression
WDR70,Gene Expression
GDNF,Gene Expression
EGFLAM-AS1,Gene Expression
LIFR,Gene Expression
LIFR-AS1,Gene Expression
OSMR,Gene Expression
RICTOR,Gene Expression
FYB1,Gene Expression
C9,Gene Expression
DAB2,Gene Expression
LINC02104,Gene Expression
LINC00604,Gene Expression
AC093277.1,Gene Expression
TTC33,Gene Expression
PTGER4,Gene Expression
PRKAA1,Gene Expression
RPL37,Gene Expression
CARD6,Gene Expression
C7,Gene Expression
OXCT1,Gene Expression
C5orf51,Gene Expression
FBXO4,Gene Expression
GHR,Gene Expression
CCDC152,Gene Expression
SELENOP,Gene Expression
AC008945.1,Gene Expression
AC008875.1,Gene Expression
AC025171.3,Gene Expression
AC025171.5,Gene Expression
ANXA2R,Gene Expression
AC025171.2,Gene Expression
AC025171.4,Gene Expression
ZNF131,Gene Expression
NIM1K,Gene Expression
AC114947.2,Gene Expression
HMGCS1,Gene Expression
CCL28,Gene Expression
TMEM267,Gene Expression
C5orf34,Gene Expression
AC114956.1,Gene Expression
PAIP1,Gene Expression
NNT-AS1,Gene Expression
NNT,Gene Expression
FGF10,Gene Expression
LINC02224,Gene Expression
MRPS30-DT,Gene Expression
MRPS30,Gene Expression
AC093297.2,Gene Expression
AC114954.1,Gene Expression
AC122694.1,Gene Expression
EMB,Gene Expression
AC112187.3,Gene Expression
PARP8,Gene Expression
AC022441.1,Gene Expression
AC022126.1,Gene Expression
ITGA1,Gene Expression
PELO,Gene Expression
AC025180.1,Gene Expression
ITGA2,Gene Expression
AC008966.2,Gene Expression
MOCS2,Gene Expression
AC008966.1,Gene Expression
FST,Gene Expression
NDUFS4,Gene Expression
LINC02105,Gene Expression
AC025175.1,Gene Expression
ARL15,Gene Expression
LINC01033,Gene Expression
HSPB3,Gene Expression
SNX18,Gene Expression
ESM1,Gene Expression
GZMK,Gene Expression
AC034238.3,Gene Expression
GZMA,Gene Expression
CDC20B,Gene Expression
GPX8,Gene Expression
MCIDAS,Gene Expression
CCNO,Gene Expression
AC026704.1,Gene Expression
DHX29,Gene Expression
MTREX,Gene Expression
PLPP1,Gene Expression
SLC38A9,Gene Expression
DDX4,Gene Expression
IL31RA,Gene Expression
IL6ST,Gene Expression
AC008914.1,Gene Expression
AC008892.1,Gene Expression
ANKRD55,Gene Expression
AC034245.1,Gene Expression
LINC01948,Gene Expression
C5orf67,Gene Expression
MAP3K1,Gene Expression
AC008937.2,Gene Expression
AC008937.1,Gene Expression
SETD9,Gene Expression
MIER3,Gene Expression
AC008937.3,Gene Expression
AC016644.1,Gene Expression
GPBP1,Gene Expression
AC025470.2,Gene Expression
PLK2,Gene Expression
GAPT,Gene Expression
LINC02108,Gene Expression
RAB3C,Gene Expression
AC016642.1,Gene Expression
PDE4D,Gene Expression
AC092343.1,Gene Expression
PART1,Gene Expression
DEPDC1B,Gene Expression
ELOVL7,Gene Expression
ERCC8,Gene Expression
NDUFAF2,Gene Expression
SMIM15,Gene Expression
SMIM15-AS1,Gene Expression
LINC02057,Gene Expression
ZSWIM6,Gene Expression
KIF2A,Gene Expression
DIMT1,Gene Expression
IPO11,Gene Expression
LRRC70,Gene Expression
RNF180,Gene Expression
RGS7BP,Gene Expression
SREK1IP1,Gene Expression
CWC27,Gene Expression
AC092354.2,Gene Expression
AC092354.1,Gene Expression
ADAMTS6,Gene Expression
AC025176.1,Gene Expression
CENPK,Gene Expression
PPWD1,Gene Expression
TRIM23,Gene Expression
TRAPPC13,Gene Expression
SHLD3,Gene Expression
SGTB,Gene Expression
NLN,Gene Expression
ERBIN,Gene Expression
SREK1,Gene Expression
AC025442.1,Gene Expression
LINC02065,Gene Expression
MAST4,Gene Expression
MAST4-AS1,Gene Expression
CD180,Gene Expression
AC112206.2,Gene Expression
LINC02242,Gene Expression
AC106798.1,Gene Expression
AC024581.1,Gene Expression
PIK3R1,Gene Expression
AC010280.2,Gene Expression
LINC02198,Gene Expression
SLC30A5,Gene Expression
AC010273.2,Gene Expression
CCNB1,Gene Expression
CENPH,Gene Expression
MRPS36,Gene Expression
CDK7,Gene Expression
CCDC125,Gene Expression
AK6,Gene Expression
TAF9,Gene Expression
RAD17,Gene Expression
MARVELD2,Gene Expression
OCLN,Gene Expression
GTF2H2C,Gene Expression
SERF1B,Gene Expression
SMN2,Gene Expression
SERF1A,Gene Expression
SMN1,Gene Expression
NAIP,Gene Expression
GTF2H2,Gene Expression
LINC02197,Gene Expression
BDP1,Gene Expression
MCCC2,Gene Expression
MAP1B,Gene Expression
MRPS27,Gene Expression
PTCD2,Gene Expression
ZNF366,Gene Expression
LINC02056,Gene Expression
AC035140.1,Gene Expression
TNPO1,Gene Expression
AC008972.1,Gene Expression
AC008972.2,Gene Expression
FCHO2,Gene Expression
TMEM171,Gene Expression
FOXD1,Gene Expression
BTF3,Gene Expression
ANKRA2,Gene Expression
UTP15,Gene Expression
ARHGEF28,Gene Expression
LINC01331,Gene Expression
ENC1,Gene Expression
HEXB,Gene Expression
GFM2,Gene Expression
NSA2,Gene Expression
FAM169A,Gene Expression
AC116337.3,Gene Expression
GCNT4,Gene Expression
ANKRD31,Gene Expression
AC008897.2,Gene Expression
HMGCR,Gene Expression
POLK,Gene Expression
AC010245.1,Gene Expression
AC010245.2,Gene Expression
ANKDD1B,Gene Expression
POC5,Gene Expression
AC026774.1,Gene Expression
SV2C,Gene Expression
AC113404.1,Gene Expression
IQGAP2,Gene Expression
AC026725.1,Gene Expression
F2RL2,Gene Expression
AC025188.1,Gene Expression
F2R,Gene Expression
F2RL1,Gene Expression
S100Z,Gene Expression
CRHBP,Gene Expression
AGGF1,Gene Expression
ZBED3,Gene Expression
AC008581.1,Gene Expression
ZBED3-AS1,Gene Expression
PDE8B,Gene Expression
WDR41,Gene Expression
OTP,Gene Expression
TBCA,Gene Expression
AC108482.1,Gene Expression
AP3B1,Gene Expression
SCAMP1-AS1,Gene Expression
SCAMP1,Gene Expression
LHFPL2,Gene Expression
ARSB,Gene Expression
DMGDH,Gene Expression
BHMT2,Gene Expression
JMY,Gene Expression
HOMER1,Gene Expression
TENT2,Gene Expression
CMYA5,Gene Expression
AC008496.2,Gene Expression
MTX3,Gene Expression
THBS4,Gene Expression
SERINC5,Gene Expression
AC010260.1,Gene Expression
ZFYVE16,Gene Expression
AC008771.1,Gene Expression
FAM151B,Gene Expression
ANKRD34B,Gene Expression
LINC01337,Gene Expression
DHFR,Gene Expression
AC008434.1,Gene Expression
MSH3,Gene Expression
RASGRF2-AS1,Gene Expression
RASGRF2,Gene Expression
AC026427.1,Gene Expression
CKMT2-AS1,Gene Expression
CKMT2,Gene Expression
ZCCHC9,Gene Expression
ACOT12,Gene Expression
SSBP2,Gene Expression
AC026726.1,Gene Expression
ATG10,Gene Expression
RPS23,Gene Expression
ATP6AP1L,Gene Expression
AC108174.1,Gene Expression
AC027338.1,Gene Expression
AC104118.1,Gene Expression
TMEM167A,Gene Expression
XRCC4,Gene Expression
VCAN,Gene Expression
VCAN-AS1,Gene Expression
EDIL3,Gene Expression
AC010595.1,Gene Expression
COX7C,Gene Expression
LINC02059,Gene Expression
AC008539.1,Gene Expression
AC109492.1,Gene Expression
RASA1,Gene Expression
CCNH,Gene Expression
AC018754.1,Gene Expression
TMEM161B,Gene Expression
TMEM161B-AS1,Gene Expression
LINC00461,Gene Expression
MEF2C-AS2,Gene Expression
AC008525.1,Gene Expression
MEF2C,Gene Expression
MEF2C-AS1,Gene Expression
LINC02161,Gene Expression
AC099554.1,Gene Expression
CETN3,Gene Expression
MBLAC2,Gene Expression
POLR3G,Gene Expression
LYSMD3,Gene Expression
ADGRV1,Gene Expression
AC093281.1,Gene Expression
AC123595.1,Gene Expression
LUCAT1,Gene Expression
AC008799.2,Gene Expression
ARRDC3,Gene Expression
ARRDC3-AS1,Gene Expression
NR2F1-AS1,Gene Expression
NR2F1,Gene Expression
FAM172A,Gene Expression
POU5F2,Gene Expression
AC108102.1,Gene Expression
KIAA0825,Gene Expression
SLF1,Gene Expression
MCTP1,Gene Expression
AC008534.1,Gene Expression
FAM81B,Gene Expression
TTC37,Gene Expression
ARSK,Gene Expression
GPR150,Gene Expression
RFESD,Gene Expression
SPATA9,Gene Expression
AC008840.1,Gene Expression
RHOBTB3,Gene Expression
GLRX,Gene Expression
AC008592.4,Gene Expression
LINC01554,Gene Expression
ELL2,Gene Expression
AC104123.1,Gene Expression
MIR583HG,Gene Expression
AC099509.2,Gene Expression
PCSK1,Gene Expression
CAST,Gene Expression
AC020900.1,Gene Expression
ERAP1,Gene Expression
AC008906.1,Gene Expression
AC008906.2,Gene Expression
AC009126.1,Gene Expression
ERAP2,Gene Expression
LNPEP,Gene Expression
LIX1-AS1,Gene Expression
LIX1,Gene Expression
RIOK2,Gene Expression
LINC01340,Gene Expression
LINC02234,Gene Expression
RGMB,Gene Expression
RGMB-AS1,Gene Expression
AC008522.1,Gene Expression
CHD1,Gene Expression
LINC02062,Gene Expression
AC021086.1,Gene Expression
FAM174A,Gene Expression
ST8SIA4,Gene Expression
AC008948.1,Gene Expression
SLCO4C1,Gene Expression
LINC00491,Gene Expression
PAM,Gene Expression
GIN1,Gene Expression
PPIP5K2,Gene Expression
NUDT12,Gene Expression
LINC02163,Gene Expression
EFNA5,Gene Expression
FBXL17,Gene Expression
LINC01023,Gene Expression
FER,Gene Expression
AC008467.1,Gene Expression
PJA2,Gene Expression
MAN2A1,Gene Expression
LINC01848,Gene Expression
TMEM232,Gene Expression
SLC25A46,Gene Expression
TSLP,Gene Expression
WDR36,Gene Expression
CAMK4,Gene Expression
AC010275.1,Gene Expression
STARD4,Gene Expression
STARD4-AS1,Gene Expression
NREP,Gene Expression
EPB41L4A,Gene Expression
EPB41L4A-AS1,Gene Expression
AC010261.2,Gene Expression
AC104126.1,Gene Expression
EPB41L4A-DT,Gene Expression
APC,Gene Expression
SRP19,Gene Expression
REEP5,Gene Expression
DCP2,Gene Expression
MCC,Gene Expression
AC079465.1,Gene Expression
YTHDC2,Gene Expression
KCNN2,Gene Expression
AC010230.1,Gene Expression
TRIM36,Gene Expression
PGGT1B,Gene Expression
AC008494.3,Gene Expression
CCDC112,Gene Expression
FEM1C,Gene Expression
TICAM2,Gene Expression
AC010226.1,Gene Expression
TMED7,Gene Expression
AC008549.2,Gene Expression
CDO1,Gene Expression
ATG12,Gene Expression
AP3S1,Gene Expression
LVRN,Gene Expression
ARL14EPL,Gene Expression
AC034236.3,Gene Expression
AC034236.2,Gene Expression
COMMD10,Gene Expression
AC018752.1,Gene Expression
SEMA6A,Gene Expression
SEMA6A-AS1,Gene Expression
SEMA6A-AS2,Gene Expression
LINC00992,Gene Expression
LINC02147,Gene Expression
LINC02148,Gene Expression
AC093206.1,Gene Expression
DTWD2,Gene Expression
AC008629.1,Gene Expression
DMXL1,Gene Expression
TNFAIP8,Gene Expression
HSD17B4,Gene Expression
FAM170A,Gene Expression
PRR16,Gene Expression
AC114284.1,Gene Expression
AC008568.1,Gene Expression
SRFBP1,Gene Expression
LOX,Gene Expression
AC010255.1,Gene Expression
ZNF474,Gene Expression
AC010255.2,Gene Expression
SNCAIP,Gene Expression
AC119150.1,Gene Expression
LINC02201,Gene Expression
SNX2,Gene Expression
SNX24,Gene Expression
PPIC,Gene Expression
PRDM6,Gene Expression
CEP120,Gene Expression
CSNK1G3,Gene Expression
LINC01170,Gene Expression
ZNF608,Gene Expression
AC112196.1,Gene Expression
LINC02240,Gene Expression
GRAMD2B,Gene Expression
AC093535.1,Gene Expression
ALDH7A1,Gene Expression
PHAX,Gene Expression
TEX43,Gene Expression
LMNB1-DT,Gene Expression
LMNB1,Gene Expression
C5orf63,Gene Expression
AC011416.3,Gene Expression
MEGF10,Gene Expression
PRRC1,Gene Expression
AC010424.3,Gene Expression
CCDC192,Gene Expression
AC068658.1,Gene Expression
LINC01184,Gene Expression
SLC12A2,Gene Expression
FBN2,Gene Expression
SLC27A6,Gene Expression
ISOC1,Gene Expression
ADAMTS19,Gene Expression
AC008591.1,Gene Expression
CHSY3,Gene Expression
HINT1,Gene Expression
LYRM7,Gene Expression
CDC42SE2,Gene Expression
RAPGEF6,Gene Expression
FNIP1,Gene Expression
MEIKIN,Gene Expression
AC034228.3,Gene Expression
ACSL6,Gene Expression
IL3,Gene Expression
CSF2,Gene Expression
P4HA2-AS1,Gene Expression
P4HA2,Gene Expression
PDLIM4,Gene Expression
SLC22A4,Gene Expression
SLC22A5,Gene Expression
AC116366.1,Gene Expression
IRF1,Gene Expression
IL5,Gene Expression
RAD50,Gene Expression
TH2LCRR,Gene Expression
IL13,Gene Expression
IL4,Gene Expression
AC004039.1,Gene Expression
KIF3A,Gene Expression
CCNI2,Gene Expression
SOWAHA,Gene Expression
AC004775.1,Gene Expression
SHROOM1,Gene Expression
GDF9,Gene Expression
UQCRQ,Gene Expression
LEAP2,Gene Expression
AFF4,Gene Expression
AC010240.3,Gene Expression
ZCCHC10,Gene Expression
HSPA4,Gene Expression
AC010307.2,Gene Expression
FSTL4,Gene Expression
AC010307.3,Gene Expression
C5orf15,Gene Expression
VDAC1,Gene Expression
AC008608.2,Gene Expression
TCF7,Gene Expression
SKP1,Gene Expression
PPP2CA,Gene Expression
AC104109.2,Gene Expression
CDKL3,Gene Expression
UBE2B,Gene Expression
AC109454.2,Gene Expression
CDKN2AIPNL,Gene Expression
AC109454.3,Gene Expression
AC005355.1,Gene Expression
JADE2,Gene Expression
SAR1B,Gene Expression
SEC24A,Gene Expression
CAMLG,Gene Expression
DDX46,Gene Expression
C5orf24,Gene Expression
TXNDC15,Gene Expression
PCBD2,Gene Expression
CATSPER3,Gene Expression
PITX1,Gene Expression
C5orf66,Gene Expression
AC008406.2,Gene Expression
AC026691.1,Gene Expression
DCANP1,Gene Expression
TIFAB,Gene Expression
AC022092.1,Gene Expression
CXCL14,Gene Expression
SLC25A48,Gene Expression
IL9,Gene Expression
TGFBI,Gene Expression
SMAD5-AS1,Gene Expression
SMAD5,Gene Expression
SPOCK1,Gene Expression
KLHL3,Gene Expression
HNRNPA0,Gene Expression
AC106791.2,Gene Expression
AC106791.1,Gene Expression
MYOT,Gene Expression
PKD2L2,Gene Expression
FAM13B,Gene Expression
AC113382.1,Gene Expression
AC113382.2,Gene Expression
WNT8A,Gene Expression
NME5,Gene Expression
BRD8,Gene Expression
KIF20A,Gene Expression
CDC23,Gene Expression
GFRA3,Gene Expression
CDC25C,Gene Expression
FAM53C,Gene Expression
AC104116.1,Gene Expression
KDM3B,Gene Expression
REEP2,Gene Expression
EGR1,Gene Expression
ETF1,Gene Expression
HSPA9,Gene Expression
CTNNA1,Gene Expression
AC034243.1,Gene Expression
LRRTM2,Gene Expression
SIL1,Gene Expression
AC011405.1,Gene Expression
MATR3,Gene Expression
SNHG4,Gene Expression
PAIP2,Gene Expression
AC135457.1,Gene Expression
SLC23A1,Gene Expression
MZB1,Gene Expression
PROB1,Gene Expression
SPATA24,Gene Expression
DNAJC18,Gene Expression
ECSCR,Gene Expression
SMIM33,Gene Expression
UBE2D2,Gene Expression
AC113361.1,Gene Expression
CXXC5,Gene Expression
CXXC5-AS1,Gene Expression
AC008667.1,Gene Expression
PSD2-AS1,Gene Expression
AC008667.3,Gene Expression
AC008667.4,Gene Expression
PSD2,Gene Expression
NRG2,Gene Expression
AC008667.2,Gene Expression
MALINC1,Gene Expression
PURA,Gene Expression
IGIP,Gene Expression
CYSTM1,Gene Expression
PFDN1,Gene Expression
HBEGF,Gene Expression
AC008438.2,Gene Expression
SLC4A9,Gene Expression
AC008438.1,Gene Expression
ANKHD1,Gene Expression
SRA1,Gene Expression
EIF4EBP3,Gene Expression
APBB3,Gene Expression
SLC35A4,Gene Expression
CD14,Gene Expression
NDUFA2,Gene Expression
TMCO6,Gene Expression
IK,Gene Expression
WDR55,Gene Expression
DND1,Gene Expression
HARS2,Gene Expression
ZMAT2,Gene Expression
PCDHA3,Gene Expression
PCDHA4,Gene Expression
PCDHA10,Gene Expression
PCDHA11,Gene Expression
AC244517.5,Gene Expression
PCDHB1,Gene Expression
PCDHB2,Gene Expression
PCDHB3,Gene Expression
PCDHB4,Gene Expression
PCDHB5,Gene Expression
AC244517.11,Gene Expression
PCDHB7,Gene Expression
PCDHB9,Gene Expression
PCDHB10,Gene Expression
PCDHB11,Gene Expression
PCDHB13,Gene Expression
PCDHB14,Gene Expression
PCDHB15,Gene Expression
TAF7,Gene Expression
SLC25A2,Gene Expression
AC005618.1,Gene Expression
PCDHGA1,Gene Expression
PCDHGA2,Gene Expression
PCDHGA3,Gene Expression
PCDHGB1,Gene Expression
PCDHGA4,Gene Expression
PCDHGB2,Gene Expression
PCDHGA5,Gene Expression
PCDHGB3,Gene Expression
PCDHGA6,Gene Expression
PCDHGA7,Gene Expression
PCDHGB4,Gene Expression
PCDHGA8,Gene Expression
PCDHGB5,Gene Expression
PCDHGA9,Gene Expression
PCDHGB6,Gene Expression
PCDHGA10,Gene Expression
PCDHGB7,Gene Expression
PCDHGA11,Gene Expression
PCDHGA12,Gene Expression
PCDHGC3,Gene Expression
PCDHGC4,Gene Expression
PCDHGC5,Gene Expression
DIAPH1,Gene Expression
AC008781.1,Gene Expression
HDAC3,Gene Expression
RELL2,Gene Expression
FCHSD1,Gene Expression
ARAP3,Gene Expression
PCDH1,Gene Expression
DELE1,Gene Expression
PCDH12,Gene Expression
AC005740.4,Gene Expression
RNF14,Gene Expression
AC005740.3,Gene Expression
GNPDA1,Gene Expression
NDFIP1,Gene Expression
SPRY4,Gene Expression
SPRY4-AS1,Gene Expression
LINC01844,Gene Expression
ARHGAP26,Gene Expression
ARHGAP26-AS1,Gene Expression
NR3C1,Gene Expression
HMHB1,Gene Expression
YIPF5,Gene Expression
KCTD16,Gene Expression
AC008700.1,Gene Expression
PRELID2,Gene Expression
SH3RF2,Gene Expression
PLAC8L1,Gene Expression
AC091887.1,Gene Expression
RBM27,Gene Expression
POU4F3,Gene Expression
TCERG1,Gene Expression
GPR151,Gene Expression
AC008728.1,Gene Expression
PPP2R2B,Gene Expression
STK32A,Gene Expression
DPYSL3,Gene Expression
JAKMIP2-AS1,Gene Expression
JAKMIP2,Gene Expression
SPINK1,Gene Expression
SCGB3A2,Gene Expression
SPINK5,Gene Expression
SPINK6,Gene Expression
SPINK13,Gene Expression
SPINK9,Gene Expression
FBXO38,Gene Expression
AC114939.1,Gene Expression
HTR4,Gene Expression
ADRB2,Gene Expression
SH3TC2,Gene Expression
AC116312.1,Gene Expression
SH3TC2-DT,Gene Expression
ABLIM3,Gene Expression
AFAP1L1,Gene Expression
GRPEL2,Gene Expression
GRPEL2-AS1,Gene Expression
PCYOX1L,Gene Expression
IL17B,Gene Expression
AC131025.1,Gene Expression
CARMN,Gene Expression
CSNK1A1,Gene Expression
ARHGEF37,Gene Expression
PPARGC1B,Gene Expression
PDE6A,Gene Expression
SLC26A2,Gene Expression
TIGD6,Gene Expression
HMGXB3,Gene Expression
CSF1R,Gene Expression
PDGFRB,Gene Expression
CDX1,Gene Expression
SLC6A7,Gene Expression
CAMK2A,Gene Expression
ARSI,Gene Expression
TCOF1,Gene Expression
CD74,Gene Expression
RPS14,Gene Expression
NDST1-AS1,Gene Expression
NDST1,Gene Expression
SYNPO,Gene Expression
MYOZ3,Gene Expression
AC008453.1,Gene Expression
RBM22,Gene Expression
DCTN4,Gene Expression
SMIM3,Gene Expression
IRGM,Gene Expression
ZNF300,Gene Expression
GPX3,Gene Expression
TNIP1,Gene Expression
ANXA6,Gene Expression
AC008641.1,Gene Expression
CCDC69,Gene Expression
GM2A,Gene Expression
SLC36A3,Gene Expression
SLC36A2,Gene Expression
SLC36A1,Gene Expression
FAT2,Gene Expression
AC011337.1,Gene Expression
AC011374.1,Gene Expression
SPARC,Gene Expression
CLMAT3,Gene Expression
